Nationality,Location,StartDate,EndDate,MinDeaths,MaxDeaths,DeathsOverride,DeathsFinal,AirRate,CivilianRate,IntentionalRate,Tags,AirForce,Notes,Sources
United States,,12/1/1941,12/31/1941,493,493,668.0649463,493.00,,0,,,,,
United States,,1/1/1942,1/31/1942,517,517,700.5873778,517.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,2/1/1942,2/29/1942,398,398,539.3303218,398.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,3/1/1942,3/31/1942,135,135,182.938677,135.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,4/1/1942,4/30/1942,"1,051","1,051",1424.211478,1051.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,5/1/1942,5/31/1942,"12,311","12,311",16682.65224,12311.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,6/1/1942,6/30/1942,184,184,249.3386412,184.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,7/1/1942,7/31/1942,159,159,215.4611084,159.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,8/1/1942,8/31/1942,143,143,193.7794875,143.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,9/1/1942,9/31/1942,137,137,185.6488796,137.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
United States,,10/1/1942,10/31/1942,181,181,245.2733373,181.00,,0,,,army,"multiplied to make 318,274",http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130
