Country,Power,More,JasonId
Albania,axis,or co-belligerents,ALB
Australia,allies,or colonies,AUS
Austria,none,neutral / not existed,AUT
Belgium,allies,or colonies,BEL
Brazil,allies,or colonies,BRA
Bulgaria,axis,or co-belligerents,BGR
Burma,allies,"or colonies, Myanmar",MMR
Canada,allies,or colonies,CAN
China,allies,or colonies,CHN
Cuba,allies,After the attack of perl harbor,CUB
Czechoslovakia,axis,"or co-belligerents, Czeckia and Slovakia",CZE
Denmark,allies,or colonies,DNK
Dutch East Indies,allies,Indonesia,IDN
Estonia,allies,or colonies,EST
Ethiopia,axis,or co-belligerents,ETH
Finland,axis,or co-belligerents,FIN
France,allies,or colonies,FRA
French Indochina,allies,"Vietnam, Laos, Cambodia","VNM,LAO,KHM"
Germany,axis,or co-belligerents,DEU
Greece,allies,or colonies,GRC
Hungary,axis,or co-belligerents,HUN
Iceland,allies,or colonies,ISL
India,allies,or colonies,IND
Iran,none,neutral / not existed,IRN
Iraq,axis,or co-belligerents,IRQ
Ireland,none,neutral / not existed,IRL
Italy,axis,or co-belligerents,ITA
Japan,axis,or co-belligerents,JPN
Korea,axis,Japan,KOR
Latvia,allies,or colonies,LVA
Lithuania,allies,or colonies,LTU
Luxembourg,allies,or colonies,LUX
Malaya,allies,"Malaysia, Singapore",MYS
Malta,allies,or colonies,MLT
Mexico,allies,After the attack of perl harbor,MEX
Mongolia,allies,or colonies,MNG
Nauru (Australian),allies,or colonies,
Netherlands,allies,or colonies,NLD
New Zealand,allies,or colonies,NZL
Newfoundland,allies,or colonies,
Norway,allies,or colonies,NOR
Papua and New Guinea (Australian),allies,or colonies,PNG
Philippines,allies,After the attack of perl harbor,PHL
Poland,allies,or colonies,POL
Portuguese Timor,none,neutral / not existed,TLS
Romania,axis,or co-belligerents,ROU
Ruanda-Urundi (Belgian),allies,"Rwanda, Burundi","RWA,BDI"
Singapore,allies,or colonies,MYS
Slovakia,axis,or co-belligerents,SVK
South Africa,allies,or colonies,ZAF
South Pacific Mandate (Japanese),axis,Given to Japan,
Soviet Union,allies,or colonies,"RUS,UKR,GEO,BLR,UZB,ARM,AZE,KAZ,KGZ,MDA,TKM,TJK"
Sweden,none,neutral / not existed,SWE
Switzerland,none, neutral / not existed,CHE
Thailand,axis,or co-belligerents,THA
Turkey,allies,After the attack of perl harbor,TUR
United Kingdom,allies,or colonies,GBR
United States,allies,After the attack of perl harbor,USA
Yugoslavia,allies,"or colonies,  Bosnia and Herzegovina, Croatia, Kosovo, Montenegro, Macedonia,  Republic of Serbia, Slovenia","BIH,HRV,CS-KM,MNE,MKD,SRB,SVN"
